"Model","Mean_AUC","SD_AUC","CI_Lower","CI_Upper"
"Offensive Starters - Conversion",0.683402892183586,0.0111492541392083,0.661550354070738,0.705255430296435
"Offensive On-Field - Conversion",0.682789172122072,0.0104087382035404,0.662388045243133,0.703190299001011
"Defensive Starters - Conversion",0.68362956233679,0.0104985655865456,0.663052373787161,0.70420675088642
"Defensive On-Field - Conversion",0.682729660521937,0.0107645372120992,0.661631167586222,0.703828153457651
"Offensive Starters - Selection",0.887710546764646,0.00376070620648231,0.880339562599941,0.895081530929351
"Defensive Starters - Selection",0.887427509641863,0.00385673906494631,0.879868301074568,0.894986718209157
