"","Starter OLS","Starter Probit","Starter Logit","Player OLS","Player Probit","Player Logit","Attempt OLS","Attempt Probit","Attempt Logit"
"(Intercept)",0.287435994901293,NA,NA,0.443523230270453,NA,NA,0.0668870692913324,NA,NA
"ydstogo",0.00884054792601835,0.0130134485350711,0.0140706800460973,0.00914807345550339,0.0133556294820524,0.0143741138870184,0.00245069776740266,0.00377188960365269,0.00303773964761435
"posteam_timeouts_remaining",0.00959192484007453,0.0110342153027375,0.0115180113094835,0.00962061858276566,0.0110178451904588,0.011495003351714,0.00305776178412166,0.00278701904600102,0.00243512224385373
"defteam_timeouts_remaining",0.00935956910928657,0.0107745053404611,0.0112437261625138,0.0094138786916129,0.0107961013176929,0.0112171473618056,0.0029831754337518,0.00280602338928887,0.00243823585512044
"rush_attempt",0.0222091832848654,0.0244593151173464,0.0253014943094623,0.0224566931440445,0.0246248679608958,0.0254493268217643,NA,NA,NA
"week",0.0107048863479669,0.012232406463949,0.0127806214328174,0.0106903449320433,0.0121871939169841,0.0126955711070981,0.00285207985099978,0.00293592232817853,0.00255002095369759
"temp",0.0110599295938226,0.0126698884854932,0.013264234497928,0.0111355519113369,0.0127691962944828,0.0133697940716728,0.00308078072396529,0.00322579457109624,0.00279654891144051
"wind",0.0113040252988617,0.0131242460858184,0.0137234600457062,0.0110615343061231,0.0128873286696777,0.0135048037063008,0.00311303297357666,0.00323751048161429,0.00279188259947856
"vegas_wp",0.0115807780367463,0.0132721662766968,0.0138781287175925,0.011690725246974,0.0133760784229199,0.0139558957460327,0.00626379853139691,0.00669522603726899,0.00590548552178597
"spread_line",0.0131621713258683,0.0151125558494801,0.0158121293608046,0.0129867936375522,0.014870845664374,0.0155243829595379,0.0023283349942437,0.00243359299833152,0.00211521134693569
"total_line",0.0139065479849043,0.0158675708716347,0.0165570064255608,0.0134464004106069,0.0153792640554376,0.0160357908951181,0.00326217289129465,0.00329361855684132,0.00287738506719391
"prep_days",0.00812611652960277,0.00939287827144582,0.00980501137811773,0.00807625944391796,0.00930882357488002,0.00972058961627661,0.00233929781349396,0.00239614375382395,0.00206766513387709
"overall_win_pct",0.0139619640123581,0.0159504688562223,0.0167435893493896,0.0139161057290464,0.0157833813924129,0.0165196599146072,0.00446375679483036,0.00461317420402147,0.00402601230790088
"team_win_pct",0.0155040348630294,0.017607947905415,0.0184439240822257,0.0155986311202781,0.0176331867737967,0.0184149228992195,0.00475087155226177,0.00490670190253494,0.00428657857606191
"prev_win_pct",0.0116197157959408,0.0133407646638288,0.0138890934354436,0.0113710337161567,0.0129958482141797,0.0135344659567692,0.00420201213078259,0.00435903128092004,0.00378817511592324
"prev_shotgun_rate",0.0181651020972101,0.0211558480691276,0.0220980061980288,0.0181713072270502,0.021185509879124,0.0221305306727488,0.00785695583307127,0.00816530982431155,0.00711828915550673
"prev_singleback_rate",0.0136140000875893,0.0158595959066564,0.0165567017993586,0.013630119188909,0.0159013416834449,0.0166181664330535,0.00620791547552054,0.00647420955712509,0.00568426894724931
"prev_empty_rate",0.0119059687176832,0.0137457221435873,0.014414906911587,0.0118737111507424,0.0137714734037369,0.0144738602781345,0.00411497266693495,0.00430555639856542,0.00377378542525677
"prev_iform_rate",0.0144273301959112,0.0165783641676489,0.0173254153648417,0.0142935977263769,0.016511134353842,0.0172795410071419,0.00526211547063003,0.00561535235058081,0.00486787440605503
"prev_stop_rate_run",0.0119945275852852,0.0136502685279288,0.014207831275798,0.0120742517310464,0.0137255202533506,0.0142818619429842,0.00272663386678854,0.00286122728211595,0.00250034168713959
"prev_stop_rate_pass",0.0107534205898563,0.0122008170309315,0.0127095947305423,0.0108576682801841,0.0124436883879981,0.0129836642369516,0.00270373465220666,0.00277960255279019,0.00243126104302726
"shotgun_rate",0.0159598612749597,0.0184263517217707,0.0193414577541779,0.0159721011217261,0.0183257284074805,0.0191948082139814,0.00509241005121993,0.00525297822171695,0.00460836921843537
"singleback_rate",0.0124850812823542,0.0143037194527189,0.0149983973715601,0.0125961773063098,0.0144257192532612,0.0150947223030702,0.00439442233991961,0.00457185873973054,0.00396377727728698
"empty_rate",0.0123862333401266,0.0145585172712733,0.0153698596916784,0.0123800116308157,0.0144981647250851,0.0152491998504039,0.0039288215220987,0.00407404114587449,0.00354004734872771
"iform_rate",0.0112197001572594,0.0126989149684392,0.013266934261446,0.0112877742081711,0.0125982170061067,0.0131226294652139,0.00362575516158145,0.00384149122357036,0.00338417304449486
"shotgun_success",0.0096052826122851,0.0111471858484576,0.0116799649581682,0.00949043814189223,0.01096758338886,0.0114915606222578,0.00279057480249725,0.00294047202958379,0.00257301737315989
