"","Starter OLS","Starter Probit","Starter Logit","Player OLS","Player Probit","Player Logit","Attempt OLS","Attempt Probit","Attempt Logit"
"(Intercept)",-0.255996164892027,NA,NA,-0.348641266158014,NA,NA,0.360438258178569,NA,NA
"ydstogo",-0.113990364327886,-0.144844539148635,-0.152352283008012,-0.111715329556696,-0.141923789798538,-0.148762800141335,-0.110386611769291,-0.131432747804525,-0.129877630436306
"posteam_timeouts_remaining",0.0173103112153812,0.019832454587609,0.0206223914649218,0.0153786815800686,0.0176898622647459,0.0184334819281323,-0.0363781178709842,-0.0305257720363766,-0.0253417609165896
"defteam_timeouts_remaining",0.00767053578193662,0.0093619226089827,0.00899120586845043,0.00949238890955334,0.0116220456094944,0.0110221383805048,-0.00239515458516005,-0.00358897317195305,-0.00217981356263688
"rush_attempt",0.163049842116464,0.177801815792721,0.182226822019116,0.160146942909249,0.173419304639651,0.178066351338359,NA,NA,NA
"week",-0.0032347543912257,-0.00448609377705245,-0.00454926891052512,-0.000444485378741955,-0.00152089990492964,-0.00195870356733671,0.00574022887533486,0.00690050727098432,0.00578933468511491
"temp",-0.00766286090896691,-0.0104743106249406,-0.0101386452644474,-0.00600302943394858,-0.00781053841678354,-0.00842582072157433,-0.00495934019845457,-0.00629935573769165,-0.00620320408807859
"wind",0.0173582557234734,0.0207047912566746,0.0218288787773643,0.0203776797305904,0.0242661845149867,0.0255549796113049,-0.00564778249987588,-0.00525846744815175,-0.00465519141438781
"vegas_wp",-0.00290548043583817,-0.00558188661192185,-0.00598348720896104,-0.00161214682544098,-0.00308153902388538,-0.00437076722093496,-0.108058412086198,-0.10327691695656,-0.0923537367612502
"spread_line",-0.00431608775896321,-0.00534092075770849,-0.00549594346392125,-0.00423262049033649,-0.00515369193863557,-0.00501273083784193,0.000778527270043142,0.000657256462909834,0.000793215396588286
"total_line",0.0207347149877933,0.0240103847971994,0.024639868042826,0.0195785163501728,0.0223888885205886,0.0227687734807232,-0.00440927222549375,-0.00218339661226751,-0.0024607424587439
"prep_days",0.00949369109678013,0.011304995767566,0.0117326642290132,0.00791317117393286,0.00981814181182937,0.0103830449516074,0.00368715032397503,0.00367250830163399,0.0033879522874454
"overall_win_pct",-0.00460871740239917,-0.00375722496648988,-0.0044636557639028,-0.00307658448668065,-0.00160725751293983,-0.00310008074547485,0.00217213146991816,0.00138162130772012,0.00123023666519804
"team_win_pct",0.0331748524965542,0.0382498070536921,0.0408012038987707,0.0263414980894438,0.0295909681328797,0.0325311783431422,0.0114494701966881,0.0109281854443497,0.010695699126333
"prev_win_pct",-0.0337417095568414,-0.0378996956726898,-0.0395525066360404,-0.0353313171817209,-0.0406111585151987,-0.0420523850304995,0.00390831498186689,0.003909031180321,0.00355329554781429
"prev_shotgun_rate",0.0299932188744816,0.0379999378525462,0.039983723942875,0.0268132959372172,0.0343224919219164,0.0346984691977717,0.00144797906116932,0.00427804399974465,0.00250453418788116
"prev_singleback_rate",0.0214865358684732,0.0247509524804947,0.0268074917385775,0.0148753164540618,0.0176841050567715,0.0179966880651685,0.00109583007858407,0.00432863845257683,0.00365154890605795
"prev_empty_rate",0.0150987177374192,0.0177557250270829,0.019467162266492,0.0132817167696765,0.0165219435908065,0.0171681464541893,-0.00256978510087749,-0.00111279886880593,-0.00129733021883327
"prev_iform_rate",0.00699718790801,0.0106859538000033,0.010863170106803,0.0105256457808686,0.0149967088921863,0.014827164872713,0.00144007733404999,0.00427564226003529,0.00251139873581553
"prev_shotgun_success",0.00701689062812976,0.0083270589222238,0.00835129005992048,0.0122925897487125,0.0151674951679537,0.0154221299496927,0.00717013941582065,0.00641096295581554,0.00529407456570296
"prev_singleback_success",0.0177119703317329,0.0212854263058111,0.0221982475793825,0.0158696553776507,0.0198953845321963,0.0203425006283569,0.00241280539121752,0.0036671011486845,0.00301805456004602
