"","Starter OLS","Starter Probit","Starter Logit","Player OLS","Player Probit","Player Logit","Attempt OLS","Attempt Probit","Attempt Logit"
"ydstogo",1.78906898089393,1.73515357203721,1.7347478256599,1.83200164187729,1.77520208714613,1.77494640826933,1.13213182525764,NA,NA
"posteam_timeouts_remaining",1.70937811064302,1.69846803628789,1.70035237513252,1.69318935715599,1.68215861993893,1.68452647251472,1.4534531944004,NA,NA
"defteam_timeouts_remaining",1.60293718780238,1.58983541623848,1.58949869988523,1.58883228612717,1.57799127927842,1.57879028403149,1.5199954022436,NA,NA
"rush_attempt",2.02649749938903,1.99616711555342,1.98404993464582,2.02406245742762,1.99231662437757,1.98053273674715,NA,NA,NA
"week",2.05664609303948,2.05298998324671,2.05382708236319,2.0596278795535,2.05881015191812,2.05963238965512,1.57628482286244,NA,NA
"temp",2.32984328319881,2.33726696395874,2.34357977925775,2.30199063612414,2.30891774354983,2.31575658043096,1.89190497621116,NA,NA
"wind",2.30648454102185,2.31381987171859,2.3232480421974,2.26706017450234,2.27147953454396,2.27714935227121,1.84195248870823,NA,NA
"vegas_wp",2.48985187702013,2.49991281151241,2.50731560836648,2.50990114670065,2.51262179666329,2.51967909560442,7.42841299184925,NA,NA
"spread_line",3.20832269512711,3.24019386932754,3.25668901065273,3.17544374328411,3.20854979225362,3.21847260245893,1.05636803325123,NA,NA
"total_line",3.54777216072839,3.54111560469167,3.55190524753075,3.41168233523585,3.41232889169758,3.42293676127623,2.2354333110978,NA,NA
"prep_days",1.22732852239758,1.22626047236444,1.22873704226537,1.22082820232596,1.22086799316497,1.22348472178817,1.04576900906425,NA,NA
"overall_win_pct",3.66465489876704,3.69289146611211,3.70806194459916,3.5671276875321,3.58021441184622,3.5945972830937,3.69112895742135,NA,NA
"team_win_pct",4.56199434976637,4.59204678026736,4.59722302383928,4.50055180310726,4.52586300758992,4.53036601542648,4.48079703268747,NA,NA
"prev_win_pct",2.50439571709367,2.51996192320121,2.53255135460981,2.37365824147972,2.39643313010751,2.4115851899807,3.36474244997398,NA,NA
"prev_shotgun_rate",6.40330367135566,6.48701793851693,6.51681451753089,6.36804682886212,6.45321359657789,6.47733916630458,11.8524403404479,NA,NA
"prev_singleback_rate",3.71385531764795,3.73643724580968,3.74690007139699,3.69051758995842,3.72616023783454,3.73417462140499,7.49856204852576,NA,NA
"prev_empty_rate",2.63110772188088,2.65122541060009,2.66558610547317,2.64083182383325,2.65774602647775,2.66947488223732,3.31210657919443,NA,NA
"prev_iform_rate",3.99331467565895,4.07383014640628,4.1044879436894,3.97631981564906,4.04225102804238,4.0668374409621,5.40766509510718,NA,NA
"prev_stop_rate_run",2.61673797249355,2.618758893485,2.62964631904382,2.58849587240696,2.60081277684934,2.61662103032696,1.56068517698757,NA,NA
"prev_stop_rate_pass",2.2442337904727,2.26163021121596,2.2751372063818,2.24412561336401,2.26765704532534,2.28531544425489,1.46785020676109,NA,NA
"shotgun_rate",4.84990048696244,4.80945339948051,4.80366420224519,4.87844587538938,4.84838517752777,4.85394554604402,4.97544285349073,NA,NA
"singleback_rate",2.98580001801653,2.98633420166358,2.98974124480482,2.99192014852547,2.99001421280459,2.9953616703004,3.62638772532609,NA,NA
"empty_rate",3.10582044512809,3.11007501769991,3.11993191131716,3.07347169064775,3.10117152957715,3.12497268549681,2.92015075257971,NA,NA
"iform_rate",2.45229371335869,2.46193086189036,2.4714505589717,2.4442997106142,2.45516314511849,2.46549714254921,2.56608193281356,NA,NA
"shotgun_success",1.71637895445985,1.72770230382675,1.73700219909936,1.7056560752644,1.71441658223836,1.72096466041554,1.48582425764197,NA,NA
"singleback_success",1.78148503322788,1.7860989185619,1.79296461270288,1.76180587555286,1.76661865511862,1.77364434960937,2.05722554167178,NA,NA
"empty_success",1.9145415356084,1.92537604318268,1.92910272226297,1.8814882486677,1.90398107195136,1.91156189345313,1.93692789475879,NA,NA
"iform_success",1.85138898231183,1.86093143849131,1.87172640820906,1.84443343390341,1.85341829262203,1.86299816595144,1.70508381637688,NA,NA
"def_stop_rate_run",1.85459304648117,1.86639045651799,1.87516465813722,1.83645907756797,1.84499339144522,1.85097099690355,1.43274689821414,NA,NA
"def_stop_rate_pass",1.97320193628432,1.95418600892923,1.94829142775422,1.85613366392955,1.84280982322384,1.84067192702546,1.54263188198882,NA,NA
"avg_pass_rushers",2.60459548479045,2.61715071963741,2.62426698766168,2.56751955823745,2.56385499646993,2.56603009170626,1.65491044370309,NA,NA
"avg_box_defenders",2.42669438283925,2.42857827811482,2.42638080211738,2.42853835156055,2.42337086182222,2.41973649103154,1.59101895362043,NA,NA
"cover0_rate",3.06950375659153,3.09906581346109,3.11283840875626,2.96186279182467,2.98472983837775,2.99804075607097,2.02944725239821,NA,NA
"cover1_rate",7.04246639755391,6.99942362588004,7.00651264192177,6.77930967686735,6.68303332828338,6.67381546238901,2.32789485081456,NA,NA
"cover2_rate",4.05809763488719,4.08943084745141,4.1196187701533,3.85732256216066,3.85530019440851,3.87285165073546,1.62137110062864,NA,NA
"cover3_rate",7.34596677201319,7.34573436304637,7.37804403191701,7.4009306058712,7.33701542291455,7.339252825057,1.90308753708652,NA,NA
"cover4_rate",4.27541130924137,4.31979578654609,4.35800863504998,4.08333237140162,4.09461942322328,4.11387277865896,1.75748796719248,NA,NA
"cover6_rate",3.21658986000749,3.22269640891318,3.23872088168661,3.17268208623806,3.16439218199182,3.17436975879834,1.56555933424099,NA,NA
"two_man_rate",1.86600176719421,1.86573719868185,1.87006907155006,1.87679955699186,1.86866467613454,1.87029513391502,1.40628533678819,NA,NA
"prevent_rate",1.53536031837463,1.55283789456559,1.56235191551471,1.5346516488265,1.5425796072842,1.54901720062709,1.25051944907419,NA,NA
"roof_outdoors",2.52836734194582,2.56288705255497,2.5801496667786,2.48694613096162,2.50993757893951,2.52226506197013,2.20983854202839,NA,NA
"posteam_type_home",1.24381028832116,1.25081855893054,1.25705319937998,1.22658578928944,1.23347053751133,1.23920993974093,1.06984077851474,NA,NA
"down1_pct",2.20654753364618,2.20366762741708,2.20657382957249,2.18422050465957,2.17650757150236,2.1788735734904,2.5451064945889,NA,NA
